trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
598,False,"{'a': 0.62153254653758339, 'e': 0.10837313276474569}",20,0,24.301909848669933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
599,False,"{'a': 0.62093472530394767, 'e': 0.105387598362924}",20,0,-19.108720406064894,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
600,False,"{'a': 0.62033590466863275, 'e': 0.10239707890123695}",20,15,3.707230766841281,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.6197360846326383, 'e': 0.099401574404609949}",20,0,5.077715899361394,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
602,False,"{'a': 0.61913526519696349, 'e': 0.096401084897967948}",20,0,27.90847346575822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
603,False,"{'a': 0.61853344636260776, 'e': 0.093395610406235896}",25,11,22.76317902367059,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.61793062813057054, 'e': 0.090385150954338744}",20,16,9.31187547154483,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.61732681050185123, 'e': 0.087369706567201222}",20,12,2.10139254805588,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
606,False,"{'a': 0.61672199347744927, 'e': 0.084349277269748058}",20,6,14.469012554118272,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.61611617705836408, 'e': 0.081323863086903536}",25,17,14.535946708059623,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.61550936124559508, 'e': 0.078293464043591943}",35,0,36.53688651122334,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
609,False,"{'a': 0.61490154604014147, 'e': 0.075258080164737784}",20,6,24.023003124078905,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.61429273144300289, 'e': 0.072217711475265123}",20,16,8.227267955526727,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.61368291745517833, 'e': 0.0691723580000978}",20,0,24.96278450179524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
612,False,"{'a': 0.61307210407766766, 'e': 0.066122019764159656}",30,13,29.465157569737077,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.61246029131147006, 'e': 0.063066696792374533}",30,0,38.8625763142342,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
614,False,"{'a': 0.61184747915758475, 'e': 0.060006389109666269}",20,0,29.109152268506094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
615,False,"{'a': 0.61123366761701137, 'e': 0.056941096740958042}",25,0,38.17651714961758,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
616,False,"{'a': 0.61061885669074911, 'e': 0.053870819711173468}",30,0,39.35576388786693,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
617,False,"{'a': 0.61000304637979763, 'e': 0.0507955580452355}",25,16,16.599540075798824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.60938623668515612, 'e': 0.047715311768067536}",25,14,21.003083560155304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.60876842760782401, 'e': 0.044630080904592306}",20,14,11.13710665483731,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.60814961914880072, 'e': 0.041539865479732763}",20,0,28.577700013750768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
621,False,"{'a': 0.60752981130908568, 'e': 0.038444665518411636}",20,0,24.9229618169125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
622,False,"{'a': 0.60690900408967807, 'e': 0.035344481045551657}",25,6,23.116892258233243,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.60628719749157733, 'e': 0.032239312086075333}",35,21,23.020169376073397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.60566439151578289, 'e': 0.029129158664904953}",25,11,22.868692656170413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.60504058616329415, 'e': 0.026014020806962801}",20,1,15.842642761380533,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
626,False,"{'a': 0.60441578143511032, 'e': 0.022893898537170942}",25,0,34.02496308648644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
627,False,"{'a': 0.60378997733223105, 'e': 0.019768791880451442}",25,0,26.949968522249957,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
628,False,"{'a': 0.60316317385565554, 'e': 0.016638700861726141}",30,8,30.39765435284439,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.60253537100638321, 'e': 0.013503625505916883}",25,7,29.818413274412123,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.60190656878541349, 'e': 0.010363565837945066}",20,9,21.16279836993515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.60127676719374556, 'e': 0.0072185218827323094}",35,23,21.783880672928206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,7,19.33174694489175,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,16,8.328994690018952,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,3,28.892229925167253,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,26.333886766671586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,20,17.754951061483233,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,14,19.051369246605987,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,15,14.066321411438057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,13,29.734236214907177,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,12,34.34627025252893,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,5,28.47253708560518,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,0,35.2348151423772,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,27.599660168092292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,30.29529206547332,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",35,24,19.287279902241416,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,0,31.450357719114393,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",35,26,14.605308230587402,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,10,13.967900147516643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
